ID,MP ID,MP name,party,city,row_number,invoice_reference,invoice_issue_date,provider,provider_U,product,purpose,purpose_CAT,payment_date,net_amount,VAT_amount,gross_amount,claimed_amount,links
135,957,Pajor Tibor,JOBBIK,Budapest IV.ker.,2.0,NQ95B5230098,2014-03-27,Bringaboard Trekking City Kft.,BRINGA BOARD TREECKING CITY KFT,irodaszer,adminisztráláshoz kis példányszámú anyagok,K312B,2014-03-20,26360.0,7117.0,33477.0,33477.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbkhRTlk0Wjl6cE0/view?usp=drivesdk
136,957,Pajor Tibor,JOBBIK,Budapest IV.ker.,3.0,VK1SA9641773,2014-03-13,Aluten Bt.,ALUTEN BT,rend. sátor bérlés,"rendezvényhez, standoláshoz",K333,2014-03-20,117800.0,31806.0,149606.0,149606.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbkhRTlk0Wjl6cE0/view?usp=drivesdk
137,957,Pajor Tibor,JOBBIK,Budapest IV.ker.,4.0,14/1078,2014-03-24,Pharma Press Kft.,PHARMA PRESS KFT,szórólap nyomt.,egyéni szórólap nyomtatás,K342,2014-03-26,193600.0,52272.0,245872.0,245872.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbkhRTlk0Wjl6cE0/view?usp=drivesdk
138,957,Pajor Tibor,JOBBIK,Budapest IV.ker.,5.0,150066337,2014-03-28,Magyar Posta Zrt.,MAGYAR POST ZRT,szórólap terjesztés,szórólap terjesztés,K342,2014-03-31,203595.0,54971.0,258566.0,258566.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbkhRTlk0Wjl6cE0/view?usp=drivesdk
139,957,Pajor Tibor,JOBBIK,Budapest IV.ker.,6.0,812SA4814354,2014-04-02,Valkóczi József E.V.,VALKÓCZI JÓZSEF EV,szórólap terjesztés,egyéni szórólap terjesztése,K342,2014-04-04,30000.0,,30000.0,30000.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbkhRTlk0Wjl6cE0/view?usp=drivesdk
140,957,Pajor Tibor,JOBBIK,Budapest IV.ker.,7.0,14/1267,2014-04-03,Pharmapress Kft.,PHARMA PRESS KFT,választási plakát,egyéni jelöltes plakátok a kijelölt helyekre,K342,2014-04-04,102000.0,27540.0,129540.0,129540.0,https://drive.google.com/file/d/0B1ve-jHPt_yfbkhRTlk0Wjl6cE0/view?usp=drivesdk
141,710,Vancsura István Dr.,JESZ,Kecskemét,1.0,2014/00869,2014-03-13,Pálma Compute Team Kft.,PÁLMA COMPUTE TEAM KFT,PS-SAMSUNG CLT-K 4072S fekete toner,"Kampánnyal kapcsolatos szóróanyagok nyomtatása, másolása",K312C,2014-03-13,11102.0,2998.0,14100.0,14100.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTmhYLTVhWDkzYUE/view?usp=drivesdk
142,710,Vancsura István Dr.,JESZ,Kecskemét,4.0,0633/00262,2014-03-12,Shell Hungary Zrt,SHELL,T-Mobil Domino Online,"Kapcsolattartás a kampányt segítő aktivistákkal, valamint a párt vezetőségével",K322,2014-03-12,11811.0,3189.0,15000.0,15000.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTmhYLTVhWDkzYUE/view?usp=drivesdk
143,710,Vancsura István Dr.,JESZ,Kecskemét,15.0,1720/000092,2014-03-12,Kis Ker. és Szolg Kft.,Kis Ker. és Szolg Kft.,"üzemanyag, fagyálló, szélvédőmosó, autópálya matrica",indoklás felülvizsg.: NAV-ügy Kmét-Bp-Kmét-Bp-Kmét 350 km,K312D,2014-03-12,0.0,0.0,14956.0,14956.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTmhYLTVhWDkzYUE/view?usp=drivesdk
144,710,Vancsura István Dr.,JESZ,Kecskemét,21.0,XX2SA,2014-03-06,Lordok Ingatlan Kft.,LORDOK INGATLAN KFT,Kampányköltség szerződés szerint - telj. időp. hiányzik,"02.vsz.körzet választási kampány szervezése, koordinálása szerződés szerint",K342,2014-03-07,800000.0,0.0,800000.0,800000.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTmhYLTVhWDkzYUE/view?usp=drivesdk
145,710,Vancsura István Dr.,JESZ,Kecskemét,22.0,FBADS-033-100030903,2014-03-20,Facebook,FACEBOOK,Hirdetés,a Párt és jelöltje népszerűsítése,K342,2014-03-20,0.0,0.0,19849.0,19849.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTmhYLTVhWDkzYUE/view?usp=drivesdk
146,710,Vancsura István Dr.,JESZ,Kecskemét,23.0,FBADS-033-100030507,2014-03-17,Facebook,FACEBOOK,hirdetés,a Párt és jelöltje népszerűsítése,K342,2014-03-17,0.0,0.0,12984.0,12984.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTmhYLTVhWDkzYUE/view?usp=drivesdk
147,710,Vancsura István Dr.,JESZ,Kecskemét,24.0,FBADS-033-100030293,2014-03-15,Facebook,FACEBOOK,hirdetés,a Párt és jelöltje népszerűsítése,K342,2014-03-15,0.0,0.0,11846.0,11846.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTmhYLTVhWDkzYUE/view?usp=drivesdk
148,710,Vancsura István Dr.,JESZ,Kecskemét,25.0,FBDAS-033-100030760,2014-03-19,Facebook,FACEBOOK,hirdetés,a Párt és jelöltje népszerűsítése,K342,2014-03-19,0.0,0.0,25919.0,25919.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTmhYLTVhWDkzYUE/view?usp=drivesdk
149,606,Magyarné Marincsák Ibolya,FÜGGETLEN JELÖLT,Hajdúszoboszló,1.0,0218/00148,2014-03-14,Jind kp benzinkút,Jind kp benzinkút,gázolaj,lakossági fórumok,K312D,2014-03-14,14962.0,5534.0,20496.0,20496.0,https://drive.google.com/file/d/0B1ve-jHPt_yfUXFRMG80b09fa1U/view?usp=drivesdk
151,614,Géhl Attila,MKSZU,Debrecen,1.0,1541/00366,2014-04-01,LUKOIL KFT,LUKOIL,üzemanyag,Debrecen-Budapest,K312D,2014-04-01,,,32104.0,32104.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTHBEX2NYbUtzOUE/view?usp=drivesdk
152,614,Géhl Attila,MKSZU,Debrecen,2.0,1541/00486,2014-04-02,LUKOIL KFT,LUKOIL,üzemanyag,Hajdúhadház-Téglás-Nyíradony-Bagamér-Debrecen,K312D,2014-04-02,,,33360.0,33360.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTHBEX2NYbUtzOUE/view?usp=drivesdk
153,614,Géhl Attila,MKSZU,Debrecen,3.0,0415376,2014-03-21,Cégtudakozó.hu Hungary Kft.,CÉGTUDAKOZÓHU HUNGARY KFT,nyomdaipari tevékenység,Kampánytermékek,,2014-04-03,546000.0,147420.0,693420.0,693420.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTHBEX2NYbUtzOUE/view?usp=drivesdk
154,614,Géhl Attila,MKSZU,Debrecen,4.0,1542/00369,2014-04-03,LUKOIL KFT,LUKOIL,üzemanyag,Debrecen-Dombóvár,K312D,2014-04-03,,,17762.0,17762.0,https://drive.google.com/file/d/0B1ve-jHPt_yfTHBEX2NYbUtzOUE/view?usp=drivesdk
